0.000000,0.000000
13356767.081169,3549867.303827
13356768.528997,3549867.364257
13356769.653258,3549867.223273
13356769.492803,3549866.986189
13356767.952931,3549865.123415
13356770.838512,3549865.693181
13356770.947036,3549864.909689
13356772.635982,3549865.715251
13356772.253034,3549865.625612
13356770.839806,3549865.295792
13356769.383948,3549865.057099
13356768.896302,3549865.395134
13356772.275440,3549866.044508
13356770.931645,3549865.950838
13356769.307411,3549866.091845
13356770.585831,3549865.847459
13356773.668407,3549865.543586
13356774.586282,3549864.871786
13356773.409445,3549864.805630
13356774.647247,3549865.422102
13356777.207745,3549865.229128
13356776.801419,3549865.508140
13356779.813795,3549865.392090
13356778.983740,3549865.211528
13356780.722014,3549865.296551
13356778.929435,3549864.915166
13356784.427057,3549864.590992
13356782.888968,3549864.928039
13356784.052182,3549864.422257
13356784.960469,3549864.660985
13356786.340178,3549864.435624
13356787.003890,3549865.063418
13356789.658631,3549864.736740
13356790.801229,3549863.974086
13356793.743557,3549862.545185
13356791.901868,3549863.447780
13356793.770578,3549862.792230
13356793.702761,3549862.252406
13356793.358979,3549862.339671
13356794.239513,3549862.620796
13356794.636710,3549863.299974
13356795.226448,3549863.252290
13356796.387454,3549862.132180
13356797.033345,3549862.384064
13356798.426930,3549862.052079
13356799.999758,3549862.022467
13356800.022317,3549862.375473
13356803.504924,3549862.121586
13356803.991560,3549862.079170
13356804.560660,3549862.609329
13356805.202089,3549862.233817
13356805.500628,3549862.270125
13356806.068793,3549862.737673
13356806.869029,3549863.349112
13356808.647121,3549863.122909
13356809.135841,3549862.848058
