0.000000,0.000000
13356776.267060,3549867.435364
13356772.773001,3549866.570705
13356776.246525,3549865.933422
13356773.119855,3549866.549389
13356774.992299,3549866.183508
13356774.742599,3549865.521478
13356774.485819,3549865.524665
13356774.212587,3549865.752766
13356776.754043,3549865.950356
13356778.301132,3549865.978771
13356780.057031,3549865.780271
13356780.924126,3549865.823526
13356780.974248,3549865.720575
13356781.121032,3549865.360186
13356780.909681,3549865.171686
13356781.844383,3549865.044026
13356782.941113,3549865.075297
13356784.267450,3549864.957885
13356785.563691,3549864.828089
13356787.117321,3549864.865088
13356789.001859,3549864.319156
13356790.029894,3549864.273255
13356790.886503,3549864.170466
13356791.921095,3549864.143525
13356793.030525,3549863.696641
13356794.673181,3549863.114170
13356795.978759,3549862.793541
13356797.227944,3549862.419201
13356797.938080,3549862.068913
13356798.889742,3549861.974112
13356799.864759,3549861.779812
13356801.056203,3549861.679909
13356802.089737,3549861.566233
13356803.100738,3549861.487819
13356803.495457,3549861.624532
13356804.247893,3549861.710653
13356805.117312,3549861.696368
13356805.947077,3549862.045335
13356806.930207,3549862.539730
13356807.918906,3549862.979505
13356809.297600,3549863.824824
13356810.334422,3549864.069357
13356811.434453,3549864.491959
13356812.150222,3549865.306063
13356812.917223,3549867.092205
13356813.559017,3549868.773985
13356814.099927,3549870.270940
13356814.370782,3549871.530254
13356814.613504,3549872.813398
13356814.746765,3549874.131062
13356815.227939,3549875.368560
13356815.847727,3549876.717224
13356817.104463,3549877.912632
13356818.771815,3549879.197129
13356820.177467,3549880.001407
13356822.231617,3549880.864719
13356824.476147,3549882.177979
13356825.828661,3549882.267831
13356827.059051,3549882.273749
13356828.591099,3549882.874033
13356829.650323,3549882.770775
13356830.446319,3549882.520234
13356831.766559,3549883.184926
13356832.968963,3549883.449685
13356833.917586,3549883.874079
13356834.719616,3549884.512741
13356835.457767,3549884.376332
13356836.377767,3549884.489814
13356836.989091,3549884.711297
13356837.411109,3549885.464811
13356837.735674,3549886.749524
13356837.502411,3549888.108755
13356837.552036,3549889.350484
13356837.515123,3549890.482419
13356837.269588,3549891.514439
13356836.951519,3549892.838926
13356835.919828,3549894.175000
13356835.433470,3549895.143996
13356834.862742,3549896.356348
13356834.078007,3549897.154781
13356833.401966,3549897.444486
13356833.248943,3549897.529465
13356832.605152,3549897.383728
13356831.194801,3549896.916016
13356829.845141,3549896.375418
13356828.441929,3549896.110434
13356827.650982,3549896.141637
13356827.027739,3549895.851614
13356826.216868,3549894.310626
13356825.479748,3549893.505972
13356825.228996,3549893.542767
13356825.072873,3549892.360342
13356825.436867,3549891.369579
13356825.850671,3549890.240575
13356826.048760,3549889.057002
13356825.738069,3549887.993105
13356825.463821,3549887.721142
13356825.333630,3549886.386972
13356825.511455,3549885.306689
13356825.669731,3549884.801519
13356825.852329,3549884.213909
13356826.605557,3549883.042514
